id,record_key,timestamp,from_bank,from_account,from_country,to_bank,to_account,to_country,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,is_laundering,predicted_alert,model_score,is_dashboard_sample
113491,2022/09/01 00:26|0026682|811102060|0026682|811102060|226317.49|US Dollar,2022-09-01 00:26:00,Bank 26682,811102060,CH,Bank 26682,811102060,CH,226317.49,USD,226317.49,USD,Reinvestment,f,t,0.6884,t
120762,2022/09/01 00:15|009376|81235B130|0225042|81235AFF0|227876.00|US Dollar,2022-09-01 00:15:00,Bank 9376,81235B130,SG,Bank 225042,81235AFF0,CH,227876,USD,227876,USD,Cheque,f,f,0.1156,t
131841,2022/09/01 00:19|0355680|8146E3C60|0355680|8146E3C60|12064.79|US Dollar,2022-09-01 00:19:00,Bank 355680,8146E3C60,DE,Bank 355680,8146E3C60,DE,12064.79,USD,12064.79,USD,Reinvestment,f,f,0.194,t
146901,2022/09/01 00:25|0362866|816FF6F30|0362866|816FF6F30|1416.81|US Dollar,2022-09-01 00:25:00,First Bank of Tuscon,816FF6F30,AE,First Bank of Tuscon,816FF6F30,AE,1416.81,USD,1416.81,USD,Reinvestment,f,f,0.1262,t
156418,2022/09/01 00:12|003902|80FD089C0|0048741|818745880|6171.39|US Dollar,2022-09-01 00:12:00,Germany Bank #456,80FD089C0,DE,Bank 48741,818745880,AE,6171.39,USD,6171.39,USD,Credit Card,f,f,0.1627,t
156693,2022/09/01 00:25|0152081|818777C70|008996|808F50340|0.75|US Dollar,2022-09-01 00:25:00,Bank 152081,818777C70,SG,Bank 8996,808F50340,US,0.75,USD,0.75,USD,Credit Card,f,f,0.0743,t
169457,2022/09/01 00:06|0262478|81A9CCDB0|0262478|81A9CCDB0|21.98|US Dollar,2022-09-01 00:06:00,Bank 262478,81A9CCDB0,AE,Bank 262478,81A9CCDB0,AE,21.98,USD,21.98,USD,Reinvestment,f,t,0.6648,t
180001,2022/09/01 00:23|0261404|81C4030D0|0261404|81C4030D0|4355.69|US Dollar,2022-09-01 00:23:00,Bank 261404,81C4030D0,NL,Bank 261404,81C4030D0,NL,4355.69,USD,4355.69,USD,Reinvestment,f,f,0.0605,t
189926,2022/09/01 00:13|0233012|8131D9E30|0012351|81DEFB6F0|7651.09|US Dollar,2022-09-01 00:13:00,Bank 233012,8131D9E30,NL,Bank 12351,81DEFB6F0,GB,7651.09,USD,7651.09,USD,Cheque,f,f,0.318,t
200354,2022/09/01 00:26|0061191|81A619E40|0168775|81F681CE0|68837.23|US Dollar,2022-09-01 00:26:00,Bank 61191,81A619E40,CH,Bank 168775,81F681CE0,GB,68837.23,USD,68837.23,USD,Cheque,f,f,0.1007,t
204444,2022/09/01 00:20|0013146|80A023290|0173329|82049F1C0|20.05|US Dollar,2022-09-01 00:20:00,Bank 13146,80A023290,SG,Bank 173329,82049F1C0,US,20.05,USD,20.05,USD,ACH,f,f,0.2557,t
220673,2022/09/01 00:25|0115036|822F58790|0112140|822F58830|9174608.81|US Dollar,2022-09-01 00:25:00,Bank 115036,822F58790,NL,Bank 112140,822F58830,NL,9174608.81,USD,9174608.81,USD,Cheque,f,f,0.4292,t
221753,2022/09/01 00:21|02776|8233DFBE0|02776|8233DFBE0|39503.66|US Dollar,2022-09-01 00:21:00,Bank 2776,8233DFBE0,NL,Bank 2776,8233DFBE0,NL,39503.66,USD,39503.66,USD,Reinvestment,f,f,0.3838,t
227497,2022/09/01 00:28|0171696|8240D1590|0171696|8240D1590|14.53|US Dollar,2022-09-01 00:28:00,Bank 171696,8240D1590,SG,Bank 171696,8240D1590,SG,14.53,USD,14.53,USD,Reinvestment,f,f,0.0693,t
234196,2022/09/01 00:05|014027|8250386D0|014027|8250386D0|23.73|US Dollar,2022-09-01 00:05:00,Bank 14027,8250386D0,NL,Bank 14027,8250386D0,NL,23.73,USD,23.73,USD,Reinvestment,f,f,0.3394,t
239286,2022/09/01 00:08|0137862|825E9C620|0137862|825E9C620|5243.45|US Dollar,2022-09-01 00:08:00,Bank 137862,825E9C620,HK,Bank 137862,825E9C620,HK,5243.45,USD,5243.45,USD,Reinvestment,f,f,0.3581,t
242563,2022/09/01 00:28|015240|807930880|0243620|8268F7410|12767.61|US Dollar,2022-09-01 00:28:00,Bank 15240,807930880,SG,Bank 243620,8268F7410,HK,12767.61,USD,12767.61,USD,Cash,f,f,0.0864,t
244666,2022/09/01 00:21|0244870|826FB4FF0|0244870|826FB4FF0|8.24|US Dollar,2022-09-01 00:21:00,Bank 244870,826FB4FF0,US,Bank 244870,826FB4FF0,US,8.24,USD,8.24,USD,Reinvestment,f,f,0.2847,t
249606,2022/09/01 00:22|0279382|828039230|0279382|828039230|73678.48|US Dollar,2022-09-01 00:22:00,Bank 279382,828039230,DE,Bank 279382,828039230,DE,73678.48,USD,73678.48,USD,Reinvestment,f,f,0.3332,t
251552,2022/09/01 00:22|01100738|8286F32A0|01100738|8286F32A0|24.86|US Dollar,2022-09-01 00:22:00,Bank 1100738,8286F32A0,US,Bank 1100738,8286F32A0,US,24.86,USD,24.86,USD,Reinvestment,f,f,0.1106,t
263131,2022/09/01 00:25|0013864|82A3FFC40|0013864|82A3FFC40|486414.71|US Dollar,2022-09-01 00:25:00,Bank 13864,82A3FFC40,HK,Bank 13864,82A3FFC40,HK,486414.71,USD,486414.71,USD,Reinvestment,f,f,0.276,t
267028,2022/09/01 00:24|070|100428660|0029598|82A9F5F10|1145.00|US Dollar,2022-09-01 00:24:00,Willows Thrift,100428660,CH,Bank 29598,82A9F5F10,CH,1145,USD,1145,USD,Cheque,f,f,0.3056,t
275031,2022/09/01 00:08|0283264|82C407AF0|01121447|8390C4FA0|166.67|US Dollar,2022-09-01 00:08:00,Bank 283264,82C407AF0,HK,Bank 1121447,8390C4FA0,NL,166.67,USD,166.67,USD,Credit Card,f,f,0.3063,t
276918,2022/09/01 00:13|0246851|82CADFD00|0246851|82CADFD00|7.97|US Dollar,2022-09-01 00:13:00,Bank 246851,82CADFD00,AE,Bank 246851,82CADFD00,AE,7.97,USD,7.97,USD,Reinvestment,f,f,0.1248,t
278190,2022/09/01 00:29|03111263|82CFBD1A0|03111263|82CFBD1A0|13187.30|US Dollar,2022-09-01 00:29:00,Bank 3111263,82CFBD1A0,DE,Bank 3111263,82CFBD1A0,DE,13187.3,USD,13187.3,USD,Reinvestment,f,f,0.1011,t
279418,2022/09/01 00:10|02108540|82D378320|02108540|82D378320|63.26|US Dollar,2022-09-01 00:10:00,Bank 2108540,82D378320,GB,Bank 2108540,82D378320,GB,63.26,USD,63.26,USD,Reinvestment,f,f,0.1222,t
281697,2022/09/01 00:12|02120353|82DA4EA90|02120353|82DA4EA90|22.41|US Dollar,2022-09-01 00:12:00,Bank 2120353,82DA4EA90,DE,Bank 2120353,82DA4EA90,DE,22.41,USD,22.41,USD,Reinvestment,f,f,0.3589,t
285718,2022/09/01 00:06|0293802|82E567650|0293802|82E567650|298172.39|US Dollar,2022-09-01 00:06:00,Bank 293802,82E567650,US,Bank 293802,82E567650,US,298172.39,USD,298172.39,USD,Reinvestment,f,f,0.1949,t
298685,2022/09/01 00:26|0310430|830D2AA50|0310430|830D2AA50|2925.18|US Dollar,2022-09-01 00:26:00,Bank 310430,830D2AA50,GB,Bank 310430,830D2AA50,GB,2925.18,USD,2925.18,USD,Reinvestment,f,f,0.3213,t
299374,2022/09/01 00:28|0231993|81E436A60|017559|830FA50E0|1003.15|US Dollar,2022-09-01 00:28:00,Bank 231993,81E436A60,GB,Bank 17559,830FA50E0,CH,1003.15,USD,1003.15,USD,Cash,f,f,0.2066,t
301558,2022/09/01 00:04|0010601|83177FAE0|0010601|83177FAE0|15.10|US Dollar,2022-09-01 00:04:00,Bank 10601,83177FAE0,NL,Bank 10601,83177FAE0,NL,15.1,USD,15.1,USD,Reinvestment,f,f,0.2129,t
305036,2022/09/01 00:25|0258718|832091FD0|0258718|832091FD0|6.81|US Dollar,2022-09-01 00:25:00,Bank 258718,832091FD0,NL,Bank 258718,832091FD0,NL,6.81,USD,6.81,USD,Reinvestment,f,f,0.2967,t
305934,2022/09/01 00:18|0171692|832478ED0|0171692|832478ED0|943.97|US Dollar,2022-09-01 00:18:00,Bank 171692,832478ED0,HK,Bank 171692,832478ED0,HK,943.97,USD,943.97,USD,Reinvestment,f,f,0.3091,t
306988,2022/09/01 00:14|0291026|832789280|0291026|832789280|14.27|US Dollar,2022-09-01 00:14:00,Bank 291026,832789280,HK,Bank 291026,832789280,HK,14.27,USD,14.27,USD,Reinvestment,f,f,0.2075,t
312869,2022/09/01 00:22|0021138|833919A00|0021138|833919A00|172280.17|US Dollar,2022-09-01 00:22:00,Bank 21138,833919A00,GB,Bank 21138,833919A00,GB,172280.17,USD,172280.17,USD,Reinvestment,f,f,0.3553,t
327160,2022/09/01 00:03|03146817|835AEB550|03146817|835AEB550|596.34|US Dollar,2022-09-01 00:03:00,Bank 3146817,835AEB550,HK,Bank 3146817,835AEB550,HK,596.34,USD,596.34,USD,Reinvestment,f,t,0.6613,t
347525,2022/09/01 00:13|0277109|83998C3B0|0277109|83998C3B0|8354.94|US Dollar,2022-09-01 00:13:00,Bank 277109,83998C3B0,HK,Bank 277109,83998C3B0,HK,8354.94,USD,8354.94,USD,Reinvestment,f,t,0.6075,t
374675,2022/09/01 00:07|0069280|83EC29790|0069280|83EC29790|2727.13|US Dollar,2022-09-01 00:07:00,Bank 69280,83EC29790,HK,Bank 69280,83EC29790,HK,2727.13,USD,2727.13,USD,Reinvestment,f,f,0.353,t
377716,2022/09/01 00:18|02152950|83F4B2310|02152950|83F4B2310|8579.21|US Dollar,2022-09-01 00:18:00,Bank 2152950,83F4B2310,HK,Bank 2152950,83F4B2310,HK,8579.21,USD,8579.21,USD,Reinvestment,f,f,0.1426,t
387920,2022/09/01 00:27|0010542|804C4A5F0|00139457|838A71A50|2488.90|US Dollar,2022-09-01 00:27:00,Bank 10542,804C4A5F0,US,Bank 139457,838A71A50,SG,2488.9,USD,2488.9,USD,Cheque,f,f,0.0941,t
392189,2022/09/01 00:17|0230520|841D76590|0230520|841D76590|11.48|US Dollar,2022-09-01 00:17:00,Bank 230520,841D76590,CH,Bank 230520,841D76590,CH,11.48,USD,11.48,USD,Reinvestment,f,f,0.1028,t
418282,2022/09/01 00:22|02173705|8479EA800|02173705|8479EA800|350.01|US Dollar,2022-09-01 00:22:00,Bank 2173705,8479EA800,GB,Bank 2173705,8479EA800,GB,350.01,USD,350.01,USD,Reinvestment,f,t,0.6969,t
423987,2022/09/01 00:03|0383097|848DD6090|0193279|848DD6040|1557.36|US Dollar,2022-09-01 00:03:00,Bank 383097,848DD6090,CH,Bank 193279,848DD6040,NL,1557.36,USD,1557.36,USD,ACH,f,f,0.2833,t
424511,2022/09/01 00:01|02103178|848EFCBA0|02103178|848EFCBA0|2176.10|US Dollar,2022-09-01 00:01:00,Bank 2103178,848EFCBA0,NL,Bank 2103178,848EFCBA0,NL,2176.1,USD,2176.1,USD,Reinvestment,f,f,0.1762,t
427582,2022/09/01 00:28|01176786|8494B0180|01176786|8494B0180|21.01|US Dollar,2022-09-01 00:28:00,Bank 1176786,8494B0180,DE,Bank 1176786,8494B0180,DE,21.01,USD,21.01,USD,Reinvestment,f,f,0.3387,t
449040,2022/09/01 00:04|02204904|84D462FF0|02204904|84D462FF0|21.28|US Dollar,2022-09-01 00:04:00,Bank 2204904,84D462FF0,AE,Bank 2204904,84D462FF0,AE,21.28,USD,21.28,USD,Reinvestment,f,f,0.2793,t
465100,2022/09/01 00:02|0083680|84FCF0AB0|0083680|84FCF0AB0|25.70|US Dollar,2022-09-01 00:02:00,Bank 83680,84FCF0AB0,AE,Bank 83680,84FCF0AB0,AE,25.7,USD,25.7,USD,Reinvestment,f,f,0.0933,t
469614,2022/09/01 00:00|0312840|85079F9D0|0312840|85079F9D0|673.70|US Dollar,2022-09-01 00:00:00,China Bank #850,85079F9D0,AE,China Bank #850,85079F9D0,AE,673.7,USD,673.7,USD,Reinvestment,f,f,0.0674,t
475403,2022/09/01 00:05|0336789|8514F7770|0336789|8514F7770|4069.57|US Dollar,2022-09-01 00:05:00,Canada Bank #732,8514F7770,DE,Canada Bank #732,8514F7770,DE,4069.57,USD,4069.57,USD,Reinvestment,f,t,0.6775,t
477390,2022/09/01 00:10|0242795|8169B6270|02169652|851DAAE90|22944.42|US Dollar,2022-09-01 00:10:00,Bank 242795,8169B6270,AE,Bank 2169652,851DAAE90,NL,22944.42,USD,22944.42,USD,Credit Card,f,f,0.3963,t
480226,2022/09/01 00:18|012|8001831D0|012|8001831D0|311856.84|Euro,2022-09-01 00:18:00,National Bank of Columbus,8001831D0,DE,National Bank of Columbus,8001831D0,DE,311856.84,EUR,311856.84,EUR,Reinvestment,f,f,0.3559,t
480750,2022/09/01 00:29|01226|800250CE0|01226|800250CE0|14.99|Euro,2022-09-01 00:29:00,Bank 1226,800250CE0,NL,Bank 1226,800250CE0,NL,14.99,EUR,14.99,EUR,Reinvestment,f,f,0.1479,t
488244,2022/09/01 00:22|032364|8010ECA50|032364|8010ECA50|4278.53|Euro,2022-09-01 00:22:00,Bank of Billings,8010ECA50,AE,Bank of Billings,8010ECA50,AE,4278.53,EUR,4278.53,EUR,Reinvestment,f,t,0.7171,t
496138,2022/09/01 00:14|022620|80225A1C0|022620|80225A1C0|12967.99|Euro,2022-09-01 00:14:00,Bank 22620,80225A1C0,HK,Bank 22620,80225A1C0,HK,12967.99,EUR,12967.99,EUR,Reinvestment,f,f,0.2118,t
522897,2022/09/01 00:18|0012180|806557150|0012180|806557150|20397.05|Euro,2022-09-01 00:18:00,Bank 12180,806557150,SG,Bank 12180,806557150,SG,20397.05,EUR,20397.05,EUR,Reinvestment,f,f,0.3237,t
527890,2022/09/01 00:27|004424|806E19D10|004424|806E19D10|132138.92|Euro,2022-09-01 00:27:00,Bank 4424,806E19D10,DE,Bank 4424,806E19D10,DE,132138.92,EUR,132138.92,EUR,Reinvestment,f,f,0.0695,t
536160,2022/09/01 00:22|034040|8080E8E30|034040|8080E8E30|6679.13|Euro,2022-09-01 00:22:00,Savings Bank of Albany,8080E8E30,NL,Savings Bank of Albany,8080E8E30,NL,6679.13,EUR,6679.13,EUR,Reinvestment,f,f,0.0889,t
550228,2022/09/01 00:24|0020703|809A34D40|0020703|809A34D40|232999.48|Euro,2022-09-01 00:24:00,Bank 20703,809A34D40,NL,Bank 20703,809A34D40,NL,232999.48,EUR,232999.48,EUR,Reinvestment,f,f,0.0765,t
550314,2022/09/01 00:02|018527|8099CAB90|018527|8099CAB90|26657.60|Euro,2022-09-01 00:02:00,Bank 18527,8099CAB90,SG,Bank 18527,8099CAB90,SG,26657.6,EUR,26657.6,EUR,Reinvestment,f,t,0.602,t
561046,2022/09/01 00:10|017690|8085496B0|018527|80ABF85F0|20683.81|Euro,2022-09-01 00:10:00,Bank 17690,8085496B0,US,Bank 18527,80ABF85F0,SG,20683.81,EUR,20683.81,EUR,Credit Card,f,t,0.7663,t
566442,2022/09/01 00:18|0224391|80B866700|0224391|80B866700|3.89|Euro,2022-09-01 00:18:00,Bank 224391,80B866700,US,Bank 224391,80B866700,US,3.89,EUR,3.89,EUR,Reinvestment,f,f,0.1246,t
590945,2022/09/01 00:25|025699|8112A5200|025699|8112A5200|20.74|Euro,2022-09-01 00:25:00,Bank 25699,8112A5200,AE,Bank 25699,8112A5200,AE,20.74,EUR,20.74,EUR,Reinvestment,f,f,0.1663,t
593601,2022/09/01 00:01|0122537|8121D7490|0122537|8121D7490|3943.61|Euro,2022-09-01 00:01:00,Bank 122537,8121D7490,CH,Bank 122537,8121D7490,CH,3943.61,EUR,3943.61,EUR,Reinvestment,f,f,0.1161,t
600355,2022/09/01 00:23|0221697|813A01870|0221697|813A01870|931.85|Euro,2022-09-01 00:23:00,Bank 221697,813A01870,HK,Bank 221697,813A01870,HK,931.85,EUR,931.85,EUR,Reinvestment,f,t,0.7512,t
605890,2022/09/01 00:18|0116024|81597BC20|0116024|81597BC20|15191.62|Euro,2022-09-01 00:18:00,Bank 116024,81597BC20,HK,Bank 116024,81597BC20,HK,15191.62,EUR,15191.62,EUR,Reinvestment,f,f,0.3467,t
606056,2022/09/01 00:08|0150582|815C15FA0|0150582|815C15FA0|1251526.25|Euro,2022-09-01 00:08:00,Bank 150582,815C15FA0,SG,Bank 150582,815C15FA0,SG,1251526.25,EUR,1251526.25,EUR,Reinvestment,f,f,0.1362,t
607868,2022/09/01 00:18|0131832|80C91C470|0232428|81684FFD0|2322.44|Euro,2022-09-01 00:18:00,Bank 131832,80C91C470,AE,Bank 232428,81684FFD0,AE,2322.44,EUR,2322.44,EUR,Credit Card,f,f,0.1497,t
617226,2022/09/01 00:08|0025765|819D8DF40|0025765|819D8DF40|17.06|Euro,2022-09-01 00:08:00,Bank 25765,819D8DF40,NL,Bank 25765,819D8DF40,NL,17.06,EUR,17.06,EUR,Reinvestment,f,f,0.0987,t
620624,2022/09/01 00:19|0215884|807580540|0068228|81AEEF3F0|1494.18|Euro,2022-09-01 00:19:00,Bank 215884,807580540,AE,Bank 68228,81AEEF3F0,US,1494.18,EUR,1494.18,EUR,Cheque,f,f,0.2315,t
638924,2022/09/01 00:12|002383|8206C7950|002383|8206C7950|4.64|Euro,2022-09-01 00:12:00,Bank 2383,8206C7950,CH,Bank 2383,8206C7950,CH,4.64,EUR,4.64,EUR,Reinvestment,f,f,0.1387,t
691090,2022/09/01 00:17|0070443|832566140|0070443|832566140|64453.16|Euro,2022-09-01 00:17:00,Bank 70443,832566140,NL,Bank 70443,832566140,NL,64453.16,EUR,64453.16,EUR,Reinvestment,f,f,0.1991,t
698317,2022/09/01 00:02|00101227|83433E830|00101227|83433E830|19.36|Euro,2022-09-01 00:02:00,Bank 101227,83433E830,DE,Bank 101227,83433E830,DE,19.36,EUR,19.36,EUR,Reinvestment,f,f,0.2013,t
701263,2022/09/01 00:19|0225981|835647480|0225981|835647480|624.16|Euro,2022-09-01 00:19:00,Bank 225981,835647480,GB,Bank 225981,835647480,GB,624.16,EUR,624.16,EUR,Reinvestment,f,f,0.2559,t
708541,2022/09/01 00:23|00132018|8378239A0|00132018|8378239A0|174809.72|Euro,2022-09-01 00:23:00,Bank 132018,8378239A0,DE,Bank 132018,8378239A0,DE,174809.72,EUR,174809.72,EUR,Reinvestment,f,f,0.2179,t
715733,2022/09/01 00:02|0124373|839E3F2D0|0124373|839E3F2D0|2205.99|Euro,2022-09-01 00:02:00,Bank 124373,839E3F2D0,SG,Bank 124373,839E3F2D0,SG,2205.99,EUR,2205.99,EUR,Reinvestment,f,f,0.2203,t
721695,2022/09/01 00:24|00103758|83C648970|00103758|83C648970|15.51|Euro,2022-09-01 00:24:00,Bank 103758,83C648970,NL,Bank 103758,83C648970,NL,15.51,EUR,15.51,EUR,Reinvestment,f,f,0.3604,t
726769,2022/09/01 00:15|0123862|83D5E1460|0123862|83D5E1460|306038.28|Euro,2022-09-01 00:15:00,Bank 123862,83D5E1460,SG,Bank 123862,83D5E1460,SG,306038.28,EUR,306038.28,EUR,Reinvestment,f,f,0.3296,t
729523,2022/09/01 00:22|0133078|83DDE1B40|0133078|83DDE1B40|3553.67|Euro,2022-09-01 00:22:00,Bank 133078,83DDE1B40,US,Bank 133078,83DDE1B40,US,3553.67,EUR,3553.67,EUR,Reinvestment,f,t,0.7605,t
732152,2022/09/01 00:29|0132251|83EE58E70|0132251|83EE58E70|16.79|Euro,2022-09-01 00:29:00,Bank 132251,83EE58E70,NL,Bank 132251,83EE58E70,NL,16.79,EUR,16.79,EUR,Reinvestment,f,f,0.0483,t
732159,2022/09/01 00:04|01153398|83EE5CEF0|01153398|83EE5CEF0|140746.04|Euro,2022-09-01 00:04:00,Bank 1153398,83EE5CEF0,GB,Bank 1153398,83EE5CEF0,GB,140746.04,EUR,140746.04,EUR,Reinvestment,f,f,0.2792,t
749597,2022/09/01 00:28|0093664|827202A40|0210142|845533EE0|7169.03|Euro,2022-09-01 00:28:00,Bank 93664,827202A40,NL,Bank 210142,845533EE0,AE,7169.03,EUR,7169.03,EUR,Credit Card,f,f,0.0689,t
749927,2022/09/01 00:02|0210121|845687650|0210121|845687650|40943.17|Euro,2022-09-01 00:02:00,Bank 210121,845687650,GB,Bank 210121,845687650,GB,40943.17,EUR,40943.17,EUR,Reinvestment,f,f,0.1788,t
754798,2022/09/01 00:23|0024658|848606D00|0024658|848606D00|1167362.80|Euro,2022-09-01 00:23:00,Bank 24658,848606D00,DE,Bank 24658,848606D00,DE,1167362.8,EUR,1167362.8,EUR,Reinvestment,f,f,0.2249,t
768605,2022/09/01 00:07|0223518|84D221A00|0223518|84D221A00|886.16|Euro,2022-09-01 00:07:00,Bank 223518,84D221A00,US,Bank 223518,84D221A00,US,886.16,EUR,886.16,EUR,Reinvestment,f,f,0.253,t
771970,2022/09/01 00:29|0187939|84D9E60D0|0187939|84D9E60D0|74.64|Euro,2022-09-01 00:29:00,Bank 187939,84D9E60D0,GB,Bank 187939,84D9E60D0,GB,74.64,EUR,74.64,EUR,Reinvestment,f,f,0.2156,t
783051,2022/09/01 00:27|0031691|80BD7FAB0|01113025|85126EFB0|441.91|Euro,2022-09-01 00:27:00,Bank 31691,80BD7FAB0,SG,Bank 1113025,85126EFB0,NL,441.91,EUR,441.91,EUR,Credit Card,f,f,0.1997,t
811523,2022/09/01 00:00|0317998|80E8D4780|0036048|80E8DD980|0.01|Yuan,2022-09-01 00:00:00,Japan Bank #358,80E8D4780,HK,Bank 36048,80E8DD980,AE,0.01,CNY,0.01,CNY,ACH,f,f,0.2008,t
811616,2022/09/01 00:29|0117909|80E944810|0039447|80E9448B0|1739833101.00|Yuan,2022-09-01 00:29:00,Bank 117909,80E944810,GB,Bank 39447,80E9448B0,SG,1739833101,CNY,1739833101,CNY,Cheque,f,f,0.2273,t
819879,2022/09/01 00:22|006422|805DE41D0|0039525|80F88F610|137927565.01|Yuan,2022-09-01 00:22:00,Bank 6422,805DE41D0,DE,Bank of Harrisburg,80F88F610,CH,137927565.01,CNY,137927565.01,CNY,ACH,f,f,0.2831,t
828802,2022/09/01 00:24|0038094|810FCEEC0|02164508|83F57CE40|83.84|US Dollar,2022-09-01 00:24:00,Italy Bank #4681,810FCEEC0,DE,Bank 2164508,83F57CE40,CH,83.84,USD,83.84,USD,Credit Card,f,f,0.2358,t
829505,2022/09/01 00:23|0139674|8110CC840|0139674|8110CC840|1697336.65|Yuan,2022-09-01 00:23:00,Bank 139674,8110CC840,GB,Bank 139674,8110CC840,GB,1697336.65,CNY,1697336.65,CNY,Reinvestment,f,f,0.097,t
833994,2022/09/01 00:27|0028905|811B5D560|0028905|811B5D560|35.70|Yuan,2022-09-01 00:27:00,Bank 28905,811B5D560,CH,Bank 28905,811B5D560,CH,35.7,CNY,35.7,CNY,Reinvestment,f,f,0.212,t
852341,2022/09/01 00:03|0036274|80E83EE40|0245043|82956E4E0|170258.88|Yuan,2022-09-01 00:03:00,Bank 36274,80E83EE40,GB,Bank 245043,82956E4E0,AE,170258.88,CNY,170258.88,CNY,Cheque,f,t,0.6812,t
854201,2022/09/01 00:20|0219853|82C9C5CB0|0219853|82C9C5CB0|1049039.75|Yuan,2022-09-01 00:20:00,Bank 219853,82C9C5CB0,GB,Bank 219853,82C9C5CB0,GB,1049039.75,CNY,1049039.75,CNY,Reinvestment,f,f,0.1624,t
874997,2022/09/01 00:00|0034715|848134AF0|0034715|848134AF0|141.67|Yuan,2022-09-01 00:00:00,Bank 34715,848134AF0,HK,Bank 34715,848134AF0,HK,141.67,CNY,141.67,CNY,Reinvestment,f,f,0.1761,t
